DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10643,1,99,Outros bens e direitos,Nenhum bem a declarar,"0,00",JOÃO CARDOSO LEAL
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10645,1,99,Outros bens e direitos,Moto honda nxr Bross 05/06,"8000,00",ROBERTO MARCONDES ANDRADE DE TOLEDO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10645,2,99,Outros bens e direitos,casa residencial em Santana do Araguaia,"130000,00",ROBERTO MARCONDES ANDRADE DE TOLEDO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10645,3,99,Outros bens e direitos,sócio - proprietário de uma loja de informática denominada  toledo informática ,"50000,00",ROBERTO MARCONDES ANDRADE DE TOLEDO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10645,4,99,Outros bens e direitos,veículo montana 05/06 off road,"28000,00",ROBERTO MARCONDES ANDRADE DE TOLEDO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,21,99,Outros bens e direitos,CAPITAL NA FIRMA TRANSPORTADORA AMAZONIA DIESIL,"100000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,1,99,Outros bens e direitos,"10% DE IMOVEL AV.SENADO LEMOS, 2842","27893,22",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,2,99,Outros bens e direitos,"20% DE UM TERRENO URBANO AV ALMTE BARROSO, 4150","8000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,3,99,Outros bens e direitos,40% DE TERRENO URBANO DA BR 316 ANANINDEUA ,"3756,50",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,4,99,Outros bens e direitos,50% TERRENO RURAL MUNICIPIO DE BRAGANÇA,"50000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,5,99,Outros bens e direitos,99% DO CAPITAL DA FIRMA ELDORADO VEICULOS E PEÇAS,"178200,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,6,99,Outros bens e direitos,APLICAÇÃO EM TITULOS DE CAPITALIZAÇÃO HCAP DO BCO HSBC BANK BRASIL,"944,48",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,7,99,Outros bens e direitos,APT N 902 ED DIJON PRENOIS TRAV TIRADENTES 59,"72331,82",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,8,99,Outros bens e direitos,AUTOMOVEL MARCA GM TIPO CORSA ANO 2002,"18843,24",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,9,99,Outros bens e direitos,"BENFEITORIA NO IMÓVEL GREEN VILLE I RUA VIOLETA, QD 10, CASA 10","25783,56",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,10,99,Outros bens e direitos,CAMIONETA CHEVROLET/2004,"113173,52",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,11,99,Outros bens e direitos,CAPITAL NA FIRMA ADBENS,"50000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,12,99,Outros bens e direitos,CAPITAL NA FIRMA AGROPECUARIA PETA E DINA,"50000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,13,99,Outros bens e direitos,"CAPITAL NA FIRMA APEU VEICULOS, MOTOS E PEÇAS ","120000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,14,99,Outros bens e direitos,CAPITAL NA FIRMA FACIL VEICULOS E PEÇAS,"300000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,15,99,Outros bens e direitos,CAPITAL NA FIRMA HOTEL DONA DINA,"10000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,16,99,Outros bens e direitos,CAPITAL NA FIRMA JAPIIM DIST. DE BEBIDAS ,"50000,00",JOSE RODRIGUES DE SOUSA NETO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PA,PA,PARÁ,10658,17,99,Outros bens e direitos,CAPITAL NA FIRMA JEJ RENOVADORA DE PNEUS LTDA,"100020,00",JOSE RODRIGUES DE SOUSA NETO
